,210_sales_channels,189_payment_methods,193_sales_planning_tools,18_sales_records,49_inventory_records,5_change_store_space_last_year,184_store_devices,232_type_of_store,6_change_employees_average_salary_last_year,145_number_direct_competitors,186_internet_connection,310_burnout,157_frequency_organize_shelves
0,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Software especializado,Software especializado + computadora,Software especializado + computadora,No cambió,POS system (i.e. computer + bar code scanner + printer),Tailor,No cambió,3.0,yes,no,Semestralmente
1,WhatsApp,"Efectivo,Transferencia interbancaria",Desconocido,No lo hago,No lo hago,Aumentó 15%,Dataphone (i.e. card payments),Grocery store (aka. nanostore),No cambió,4.0,yes,no,Desconocido
2,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Desconocido,Software especializado + computadora,En Excel,No cambió,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer)",Grocery store (aka. nanostore),No cambió,0.0,yes,no,Semanalmente
3,Llamada a Teléfono fijo,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Ninguna,Software especializado + computadora,Software especializado + computadora,No cambió,POS system (i.e. computer + bar code scanner + printer),Grocery store (aka. nanostore),No cambió,4.0,yes,no,Semanalmente
4,Llamada a Teléfono celular,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Desconocido,En papel,En papel,No cambió,Smartphone,Grocery store (aka. nanostore),No cambió,0.0,yes,no,Mensualmente
5,Desconocido,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Desconocido,Software especializado + computadora,Software especializado + computadora,No cambió,"Dataphone (i.e. card payments),Security cameras,Smartphone",Cafeteria,No cambió,2.0,yes,no,Diariamente
6,WhatsApp,"Efectivo,Transferencia interbancaria",Desconocido,No lo hago,En Excel,No cambió,Smartphone,Technology Store,No cambió,0.0,yes,no,Semanalmente
7,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Software especializado,En papel,"En Excel,En papel",Aumentó 50% o más,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Smartphone",Grocery store (aka. nanostore),No cambió,6.0,yes,no,Semanalmente
8,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Desconocido,Software especializado + computadora,Software especializado + computadora,No cambió,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Smartphone",Retailer store,No cambió,2.0,yes,no,Semanalmente
9,"Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp",Efectivo,Ninguna,No lo hago,No lo hago,Aumentó 25%,Smartphone,Grocery store (aka. nanostore),No cambió,1.0,yes,no,Diariamente
10,Desconocido,Efectivo,Ninguna,Aplicación móvil (i.e. App) + smartphone,Software especializado + computadora,No cambió,"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",Grocery store (aka. nanostore),Dependiente ,3.0,yes,no,Diariamente
11,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria","Aplicación móvil,Software especializado",Software especializado + computadora,Software especializado + computadora,No cambió,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",internet ,No cambió,4.0,yes,no,Quincenalmente
12,Desconocido,"Efectivo,Tarjeta de débito y/o crédito",Ninguna,Caja registradora (análoga),En papel,No cambió,"Analog cash register,Smartphone",Ferretería ,Aumentó 15%,4.0,yes,no,Quincenalmente
13,"Llamada a Teléfono celular,WhatsApp",Efectivo,Ninguna,En papel,En papel,Desconocido,Smartphone,Butcher shop,Desconocido,6.0,no,no,Nunca
14,Desconocido,Efectivo,Ninguna,En papel,No lo hago,No cambió,Smartphone,Micro-restaurant (aka. fondita),No cambió,2.0,yes,no,Diariamente
15,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Desconocido,Software especializado + computadora,Software especializado + computadora,No cambió,"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",Dulceria ,No cambió,2.0,yes,no,Semanalmente
