,282_payment_method_that_purchase,283_fulfill_needs,299_means_transportation_consumer,indicate_the_type_of_store,81_number_online_purchases_month,309_wiretransfers_in_store,286_topups,240_gender_interviewee
0,Efectivo,no,A pie,Cafeteria,1,no,No lo hago,Male
1,Efectivo,yes,A pie,Grocery store (aka. nanostore),1,no,Tienda de conveniencia (e.g. OXXO),Female
2,Efectivo,yes,Automóvil,Micro-restaurant (aka. fondita),0,no,"Supermercado,Tienda de conveniencia (e.g. OXXO)",Female
3,Tarjeta de débito y/o crédito,yes,Motocicleta,Cafeteria,2,no,No lo hago,Female
4,Efectivo,yes,Transporte público,Cafeteria,2,no,Supermercado,Female
5,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),0,no,Tienda de conveniencia (e.g. OXXO),Female
6,Efectivo,yes,Automóvil,Artículos del hogar,1,no,"Supermercado,Tienda de conveniencia (e.g. OXXO)",Female
7,Efectivo,yes,Transporte público,Butcher shop,1,yes,Tienda de conveniencia (e.g. OXXO),Female
8,Efectivo,yes,A pie,Grocery store (aka. nanostore),0,yes,"Fonda,Tiendita",Male
9,Efectivo,yes,A pie,Grocery store (aka. nanostore),1,yes,"Tienda de conveniencia (e.g. OXXO),Tiendita",Female
10,Efectivo,yes,Automóvil,Grocery store (aka. nanostore),2,yes,No lo hago,Male
11,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),0,yes,Tienda de conveniencia (e.g. OXXO),Female
12,Efectivo,yes,A pie,Butcher shop,1,no,"Tienda de conveniencia (e.g. OXXO),Tiendita",Male
13,Efectivo,yes,A pie,Butcher shop,2,no,Tienda de conveniencia (e.g. OXXO),Female
14,Efectivo,yes,A pie,Grocery store (aka. nanostore),2,no,"Tienda de conveniencia (e.g. OXXO),Tiendita",Male
15,Efectivo,yes,A pie,Grocery store (aka. nanostore),1,no,No lo hago,Male
16,Efectivo,yes,A pie,Grocery store (aka. nanostore),2,no,Tienda de conveniencia (e.g. OXXO),Male
17,Efectivo,yes,A pie,Dairy products,0,no,"Tienda de conveniencia (e.g. OXXO),Tiendita",Female
18,Efectivo,yes,A pie,Grocery store (aka. nanostore),2,no,Tienda de conveniencia (e.g. OXXO),Male
19,Transferencia interbancaria,no,A pie,Produce (fruits & vegetables),0,no,No lo hago,Male
20,Efectivo,yes,Automóvil,Produce (fruits & vegetables),3,no,No lo hago,Female
21,Efectivo,yes,Automóvil,Grocery store (aka. nanostore),2,no,Tienda de conveniencia (e.g. OXXO),Male
22,Efectivo,yes,A pie,Dairy products,0,Desconocido,Tienda de conveniencia (e.g. OXXO),Female
23,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),2,no,No lo hago,Male
24,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),1,no,No lo hago,Male
25,Tarjeta de débito y/o crédito,yes,Automóvil,Micro-restaurant (aka. fondita),1,no,No lo hago,Male
26,Tarjeta de débito y/o crédito,yes,A pie,Grocery store (aka. nanostore),0,no,No lo hago,Male
27,Transferencia interbancaria,yes,Automóvil,Micro-restaurant (aka. fondita),8,yes,Plan ,Female
28,Tarjeta de débito y/o crédito,yes,Automóvil,Grocery store (aka. nanostore),2,yes,Tienda de conveniencia (e.g. OXXO),Male
29,Efectivo,yes,Transporte público,Cafeteria,1,no,Tienda de conveniencia (e.g. OXXO),Male
30,Tarjeta de débito y/o crédito,yes,Automóvil,Cafeteria,5,no,Tienda de conveniencia (e.g. OXXO),Male
31,Efectivo,yes,A pie,Grocery store (aka. nanostore),0,yes,Tienda de conveniencia (e.g. OXXO),Female
32,Efectivo,yes,Automóvil,Produce (fruits & vegetables),1,no,Tienda de conveniencia (e.g. OXXO),Female
33,Efectivo,yes,Automóvil,Grocery store (aka. nanostore),6,no,Tienda de conveniencia (e.g. OXXO),Male
34,Efectivo,yes,A pie,Grocery store (aka. nanostore),2,yes,Tienda de conveniencia (e.g. OXXO),Male
35,Efectivo,yes,A pie,Grocery store (aka. nanostore),0,no,"Farmacia ,Tienda de conveniencia (e.g. OXXO)",Female
36,Efectivo,yes,A pie,Micro-restaurant (aka. fondita),3,no,App,Female
37,Efectivo,yes,A pie,Grocery store (aka. nanostore),2,no,No lo hago,Female
38,Efectivo,yes,Transporte público,Micro-restaurant (aka. fondita),4,no,Tienda de conveniencia (e.g. OXXO),Female
39,Efectivo,yes,Transporte público,Micro-restaurant (aka. fondita),2,no,No lo hago,Male
40,Efectivo,yes,Automóvil,Grocery store (aka. nanostore),2,no,Banco,Male
41,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),0,no,Tienda de conveniencia (e.g. OXXO),Female
42,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),0,no,No lo hago,Male
43,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),4,no,En línea ,Male
44,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),2,no,Tienda de conveniencia (e.g. OXXO),Female
45,Efectivo,yes,A pie,Micro-restaurant (aka. fondita),3,yes,Banco,Male
46,Efectivo,yes,A pie,Micro-restaurant (aka. fondita),6,yes,Tienda de conveniencia (e.g. OXXO),Male
47,Efectivo,yes,Automóvil,Micro-restaurant (aka. fondita),1,no,Banco,Male
48,Efectivo,yes,Automóvil,Cafeteria,5,no,Tienda de conveniencia (e.g. OXXO),Male
49,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),0,no,No lo hago,Female
50,Efectivo,yes,Transporte público,Produce (fruits & vegetables),0,no,Tienda de conveniencia (e.g. OXXO),Male
51,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),1,no,Tienda de conveniencia (e.g. OXXO),Male
52,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),7,no,En línea ,Male
53,Efectivo,yes,A pie,Grocery store (aka. nanostore),2,no,Tienda de conveniencia (e.g. OXXO),Male
54,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),3,no,Tienda de conveniencia (e.g. OXXO),Male
55,Efectivo,yes,A pie,Cafeteria,0,no,Tienda de conveniencia (e.g. OXXO),Female
56,Efectivo,yes,Transporte público,Micro-restaurant (aka. fondita),0,no,Tienda de conveniencia (e.g. OXXO),Female
57,Efectivo,yes,Automóvil,Micro-restaurant (aka. fondita),0,no,Tienda de conveniencia (e.g. OXXO),Male
58,Efectivo,yes,A pie,Butcher shop,0,yes,Fonda,Female
59,Efectivo,yes,A pie,Micro-restaurant (aka. fondita),2,yes,Fonda,Male
60,Efectivo,yes,Transporte público,Produce (fruits & vegetables),2,yes,Tienda de conveniencia (e.g. OXXO),Male
61,Efectivo,yes,Automóvil,Micro-restaurant (aka. fondita),30,yes,Tienda de conveniencia (e.g. OXXO),Male
62,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),0,no,Tienda de conveniencia (e.g. OXXO),Female
63,Efectivo,yes,Transporte público,Micro-restaurant (aka. fondita),3,yes,Tienda de conveniencia (e.g. OXXO),Female
64,Efectivo,yes,Transporte público,Cafeteria,2,yes,No lo hago,Male
65,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),10,yes,Tienda de conveniencia (e.g. OXXO),Male
66,Efectivo,yes,Transporte público,Produce (fruits & vegetables),2,yes,Fonda,Male
67,Tarjeta de débito y/o crédito,yes,Transporte público,Grocery store (aka. nanostore),5,no,Tienda de conveniencia (e.g. OXXO),Male
68,Efectivo,yes,Automóvil,Grocery store (aka. nanostore),2,no,Supermercado,Female
69,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),1,no,Tienda de conveniencia (e.g. OXXO),Male
70,Efectivo,yes,Transporte público,Grocery store (aka. nanostore),2,no,Tienda de conveniencia (e.g. OXXO),Male
71,Efectivo,yes,A pie,Cafeteria,0,no,Banco,Female
72,Efectivo,yes,Automóvil,Micro-restaurant (aka. fondita),2,no,Fonda,Female
73,Efectivo,yes,Automóvil,Cafeteria,1,no,Tienda de conveniencia (e.g. OXXO),Female
74,Efectivo,yes,A pie,Grocery store (aka. nanostore),2,no,No lo hago,Male
